count,day,month,year
6285,12,5,2022
5346,23,5,2022
5472,30,5,2022
5645,5,6,2022
7116,16,6,2022
5634,29,6,2022
2763,9,7,2022
6611,15,7,2022
5452,22,7,2022
9657,8,8,2022
8089,15,8,2022
4215,26,8,2022
11932,1,9,2022
5592,8,9,2022
6706,19,9,2022
5572,28,11,2022
5830,14,12,2022
4994,21,12,2022
6045,26,1,2023
4951,19,2,2023
5152,12,3,2023
6337,23,3,2023
5522,13,11,2021
5779,27,11,2021
4147,3,12,2021
4067,17,12,2021
6578,22,1,2022
6797,1,2,2022
3740,4,2,2022
3732,18,2,2022
5833,8,3,2022
5360,21,4,2022
3683,3,5,2022
5302,17,5,2022
3879,31,5,2022
5245,7,6,2022
5740,21,6,2022
6413,3,7,2022
8393,17,7,2022
4764,31,7,2022
5636,7,8,2022
6169,21,8,2022
5732,30,8,2022
5893,6,9,2022
7681,20,9,2022
5894,16,10,2022
5953,30,10,2022
5899,6,11,2022
7066,20,11,2022
4796,2,12,2022
3911,16,12,2022
5394,8,1,2023
5682,22,1,2023
4786,21,2,2023
3762,17,3,2023
3853,7,4,2023
2475,21,4,2023
5487,3,5,2023
5497,17,5,2023
4038,31,5,2023
5178,7,6,2023
5818,21,6,2023
6176,6,7,2023
7753,20,7,2023
5739,30,8,2023
5714,6,9,2023
6743,20,9,2023
4955,5,10,2023
5293,16,10,2023
5719,20,11,2023
5534,5,12,2023
4479,19,12,2023
4115,31,1,2024
5318,7,2,2024
4769,21,2,2024
5407,17,3,2024
3692,31,3,2024
5111,2,1,2018
4035,9,2,2018
6922,5,3,2018
5483,27,3,2018
5772,27,1,2018
3896,23,2,2018
6284,13,3,2018
5451,22,3,2018
5794,6,2,2018
1480,31,12,2021
2879,31,3,2023
5463,23,4,2018
6282,9,6,2018
7276,18,6,2018
6983,3,7,2018
6115,30,7,2018
5297,7,8,2018
5927,8,9,2018
6774,17,9,2018
3981,12,10,2018
6225,21,10,2018
5573,29,10,2018
6035,3,11,2018
4259,7,12,2018
7774,15,12,2018
6124,16,12,2018
5023,24,12,2018
4886,2,1,2019
4252,11,1,2019
5463,6,2,2019
4441,15,2,2019
6043,16,3,2019
6443,25,3,2019
10790,1,4,2019
7119,20,4,2019
6123,2,5,2019
5865,11,5,2019
5734,14,5,2019
7828,6,6,2019
8333,15,6,2019
6293,23,6,2019
6127,24,6,2019
4679,19,7,2019
6308,28,7,2019
13001,1,8,2019
6152,10,8,2019
7211,5,9,2019
6404,14,9,2019
6622,22,9,2019
6166,26,10,2019
6131,27,10,2019
6418,9,11,2019
5999,4,12,2019
3663,13,12,2019
5566,21,12,2019
3051,30,12,2019
6285,16,1,2020
8037,25,1,2020
7469,1,2,2020
11561,20,2,2020
4873,2,3,2020
5297,14,3,2020
5009,6,4,2020
7107,15,4,2020
6474,23,4,2020
3838,24,4,2020
5492,19,5,2020
6680,28,5,2020
13543,1,6,2020
8399,10,6,2020
6973,5,7,2020
6421,14,7,2020
6449,22,7,2020
6077,26,8,2020
6040,27,8,2020
4121,4,10,2020
5132,13,10,2020
4081,30,10,2020
7240,25,11,2020
5695,16,12,2020
5095,12,1,2021
6961,21,1,2021
4726,16,2,2021
6077,25,2,2021
7177,10,3,2021
3264,2,4,2021
4785,19,4,2021
7797,15,5,2021
5076,24,5,2021
11695,1,7,2021
7764,10,7,2021
7660,18,7,2021
8118,27,7,2021
7207,22,8,2021
6500,23,8,2021
4491,31,8,2021
4571,9,10,2021
6165,21,11,2021
4944,30,11,2021
5057,19,1,2022
3810,28,1,2022
6310,5,3,2022
5748,14,3,2022
5726,22,3,2022
5112,31,3,2022
5310,18,4,2022
4875,26,4,2022
5303,27,4,2022
5184,4,6,2022
5703,13,6,2022
7708,25,7,2022
6438,2,8,2022
5835,3,9,2022
6872,12,9,2022
3045,7,10,2022
5856,24,10,2022
6526,10,12,2022
4666,11,12,2022
4986,19,12,2022
6763,5,1,2023
5804,14,1,2023
5648,17,1,2023
3996,31,1,2023
5288,18,2,2023
5026,26,2,2023
4907,27,2,2023
8249,3,3,2023
6883,4,4,2023
5296,13,4,2023
7475,25,5,2023
3532,2,6,2023
3571,30,6,2023
6537,3,7,2023
6733,12,7,2023
5580,7,8,2023
6389,16,8,2023
6089,24,8,2023
5940,28,9,2023
3682,2,10,2023
7730,10,10,2023
4619,11,10,2023
5517,19,10,2023
5134,6,11,2023
5111,14,11,2023
5968,15,11,2023
6156,23,11,2023
4493,27,12,2023
4905,3,1,2024
5247,22,1,2024
6464,30,3,2023
5482,5,4,2023
5261,16,4,2023
5001,29,4,2023
4837,9,5,2023
7661,15,5,2023
5557,22,5,2023
5677,8,6,2023
6855,15,6,2023
7427,26,6,2023
8228,1,7,2023
6105,19,7,2023
5306,14,10,2023
4932,7,11,2023
5454,25,11,2023
4855,18,12,2023
4556,24,12,2023
3991,12,1,2024
4861,23,1,2024
5496,5,2,2024
3602,16,2,2024
3046,29,2,2024
4599,15,3,2024
3453,22,3,2024
5181,8,4,2024
4280,15,4,2024
6207,17,3,2018
5585,28,3,2018
7564,10,4,2018
6413,4,1,2018
9941,25,1,2018
6227,18,2,2018
5587,24,2,2018
5716,21,4,2018
3658,29,12,2019
6144,27,5,2018
4979,31,5,2018
5567,17,6,2018
4775,13,7,2018
4755,31,7,2018
4758,3,8,2018
4222,17,8,2018
6314,30,8,2018
6953,16,9,2018
